,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
716,Dave Mirra Freestyle BMX: Maximum Remix,Z-Axis,Acclaim Entertainment,Unreleased,"June 8, 2001","May 21, 2001",
717,David Beckham Soccer,Rage Software Limited,Rage Software Limited,Unreleased,"November 23, 2001","July 2, 2002",
718,Davis Cup Complete Tennis,Dome Software,Telstar,Unreleased,"October 1, 1996",Unreleased,
719,Dead Ball Zone,Rage Software Limited,GT Interactive,Unreleased,Unreleased,"March 10, 1998",
720,Dead in the Water,ASC Games,Player 1,Unreleased,Unreleased,"March 2, 1998",
721,Dead or Alive,Tecmo,Sony Computer Entertainment Europe,"March 12, 1998","July 1, 1998","January 3, 1998",
722,Deadheat Road,Nihon Bussan,Nihon Bussan,"April 12, 1996",Unreleased,Unreleased,
723,Deadly Skies,Funcom,Coconuts Japan,"October 23, 1997",Unreleased,Unreleased,
724,Death Wing,Cybertech Designs,Cybertech Designs,"October 26, 1996",Unreleased,Unreleased,
725,Deathtrap Dungeon,Asylum studios,Eidos Interactive,Unreleased,April 1998,"January 4, 1998",
726,DeathMask,Electric Dreams Inc.,Vantan International,"February 9, 1996",Unreleased,Unreleased,
727,Debut 21,TOSE,NEC Interchannel,"September 10, 1998",Unreleased,Unreleased,
728,Deception III: Dark Delusion,Tecmo,Tecmo,"December 9, 1999",Unreleased,"March 1, 2000",
729,Deep Freeze,Talon,Sammy Corporation,"January 14, 1999",Unreleased,Unreleased,
730,The Deep: Ushinawareta Shinkai,Marionette,Acclaim,"October 18, 1996",Unreleased,Unreleased,
731,Deep Sea Adventure: Kaitei Kyuu Panthalassa no Nazo,Barnhouse Effect,Takara,"March 20, 1997",Unreleased,Unreleased,
732,Defcon 5,Millennium Interactive,"Data EastNA, PsygnosisPAL, MultisoftJP","May 17, 1996",February 1996,"November 24, 1995",
733,Dekiru! Game Center,Shoeisha,Shoeisha,"January 14, 1999",Unreleased,Unreleased,
734,Delta Force: Urban Warfare,Rebellion Developments,Novalogic,Unreleased,"August 9, 2002","July 18, 2002",
735,Demolition Racer,Pitbull Syndicate,Infogrames,Unreleased,"November 1, 1999","August 31, 1999",
736,Dengeki Construction: Ochige-Yarouze!,Fupac,MediaWorks,"June 25, 1998",Unreleased,Unreleased,
737,Denki Groove Jigoku V,Opus,Sony Music Entertainment Incorporated,"January 8, 1998",Unreleased,Unreleased,
738,Denpa Shounenteki Game,Hudson,Hudson,"April 2, 1998",Unreleased,Unreleased,
739,Densetsu Kemono no Ana: Monster Complete World Ver. 2,Idea Factory,Idea Factory,"October 28, 1999",Unreleased,Unreleased,
740,Densha Daisuki: Plarail de Ippai,Tomy Corporation,Tomy Corporation,"December 23, 1998",Unreleased,Unreleased,
741,Densha de Go!•Simple 1500 Series Vol. 103: The Ganso Densha Utenshi - Densha de Go!JP,Taito,Taito,"December 18, 1997",Unreleased,Unreleased,
742,Densha de Go! 2,Taito,Taito,"March 18, 1999",Unreleased,Unreleased,
743,Densha de Go! Nagoya Railroad•Simple 1500 Series Vol. 102: The Densha UtenshuJP,Taito,Taito,"January 27, 2000",Unreleased,Unreleased,
744,Densha de Go! Professional Shiyou,Taito,Taito,"December 9, 1999",Unreleased,Unreleased,
745,DepthJP•FluidPAL•SubEU,Opus,SCEE,"December 6, 1996","August 1, 1998",Unreleased,
746,Derby Jockey 2001,Asmik Ace,Asmik Ace,"January 8, 2001",Unreleased,Unreleased,
747,Derby Jockey R,Graphic Research,Asmik Ace,"February 28, 1997",Unreleased,Unreleased,
748,Derby Stallion,ASCII Corporation,ASCII Corporation,"July 17, 1997",Unreleased,Unreleased,
749,Derby Stallion '99,ASCII Corporation,ASCII Corporation,"September 30, 1999",Unreleased,Unreleased,
750,Descent,Parallax Software,Interplay,"January 26, 1996",May 1996,"March 12, 1996",
751,Descent II•Descent Maximum,Parallax Software,Interplay,Unreleased,May 1997,"April 30, 1997",
752,Deserted Island,KSS,KSS,"November 29, 1996",Unreleased,Unreleased,
753,Destrega,KOEI,SCEE,"September 23, 1998","October 8, 1999","February 4, 1999",
754,Destruction Derby,Reflections Interactive,Psygnosis,"February 9, 1996","October 20, 1995","November 16, 1995",
755,Destruction Derby 2,Reflections Interactive,Psygnosis,"February 21, 1997","January 13, 1997","November 15, 1996",
756,Destruction Derby Raw,Studio 33 / Midway,SCEE,Unreleased,"June 30, 2000","September 15, 2000",
757,Destructo 2•Simple 1500 Series Vol. 48: The Puzzle 2JP,Axes Art Amuse,"Phoenix GamesPAL, D3PublisherJP","December 7, 2000","June 10, 2003",Unreleased,
758,Detana TwinBee Yahho! Deluxe Pack,KCET,Konami,"September 29, 1995",Unreleased,Unreleased,
759,Detective Barbie: The Mystery Cruise,Runecraft,Mattel,Unreleased,Unreleased,"November 28, 2000",
760,Detective Mouse,The Code Monkeys,Phoenix Games,Unreleased,2003,Unreleased,
761,DeviceReign,Starlight Marry,Media Works,"February 25, 1999",Unreleased,Unreleased,
762,Devil Dice,Shift,SCEE,"June 18, 1998","June 29, 1998","September 15, 1998",
763,Devilman,Bandai,Bandai,"April 13, 2000",Unreleased,Unreleased,
764,Dexter's Laboratory: Mandark's Lab?,Red Lemon Studios,BAM! Entertainment,Unreleased,"April 12, 2002","May 4, 2002",
765,Dezaemon Kids!,Athena,Athena,"October 22, 1998",Unreleased,Unreleased,
766,Dezaemon Plus,Athena,Athena,"May 24, 1996",Unreleased,Unreleased,
767,Diablo,Climax Group,Activision,Unreleased,April 1998,"March 11, 1998",
768,Die Hard Trilogy,Probe Entertainment,"Fox Interactive, EA Games","December 13, 1996","December 6, 1996","September 15, 1996",
769,Die Hard Trilogy 2: Viva Las Vegas,n-Space,Fox Interactive,Unreleased,"February 24, 2000","February 24, 2000",
770,Diet Nyuumon Set Undou Kaishou!,Twilight Express,Twilight Express,"December 20, 2001",Unreleased,Unreleased,
771,Digical League,Now Production,Aques,"June 20, 1997",Unreleased,Unreleased,
772,DigiCro: Digital Number Crossword,Atlus,Atlus,"November 1, 1996",Unreleased,Unreleased,
773,Digimon Digital Card Battle,BEC,Bandai,"December 21, 2000","July 19, 2002","June 28, 2001",
774,Digimon Park,Chime,Bandai,"July 26, 2001",Unreleased,Unreleased,
775,Digimon Rumble Arena,Bandai,Bandai,"December 6, 2001","July 12, 2002","February 24, 2002",
776,Digimon Tamers: Pocket Culumon,Bandai,Bandai,"July 26, 2001",Unreleased,Unreleased,
777,Digimon World,Bandai,Bandai,"January 28, 1999","July 6, 2001","June 30, 2000",
778,Digimon World 2,BEC,Bandai,"July 27, 2000",Unreleased,"May 1, 2001",
779,Digimon World 3•Digimon World 2003EU,BEC,Bandai,"July 4, 2002","November 29, 2002","June 1, 2002",
780,Digimon World: Digital Card Battle,Bandai,Bandai,"December 22, 1999",Unreleased,Unreleased,
781,Digital Figure Iina,Natsume,Imagineer,"October 22, 1998",Unreleased,Unreleased,
782,Digital Glider Airman,Ornith,ASK,"September 14, 1999",Unreleased,Unreleased,
783,Dino Crisis,Capcom,Capcom,"July 1, 1999","October 1, 1999","September 1, 1999",
784,Dino Crisis 2,Capcom,Capcom,"September 13, 2000","November 24, 2000","October 1, 2000",
785,Dinomaster Party,Similis,LSP,Unreleased,2000,Unreleased,
786,Dinosaurs,The Code Monkeys,Phoenix Games,Unreleased,"March 28, 2003",Unreleased,
787,Dioramos,,Ponos,"November 30, 2000",Unreleased,Unreleased,
788,Dirt Jockey,"DDL, Inc.",Mastiff,Unreleased,Unreleased,"July 10, 2003",
789,Disc Derby,Dazz,Dazz,"March 30, 2000",Unreleased,Unreleased,
790,Discworld,Perfect Entertainment,Psygnosis,Unreleased,October 1995,"November 15, 1995",
791,Discworld II,Perfect Entertainment,Psygnosis,Unreleased,November 1997,"September 24, 1997",
792,Discworld Noir,Perfect Entertainment,GT Interactive,Unreleased,2000,Unreleased,
793,Disney's Aladdin in Nasira's Revenge,Argonaut Games,SCEA,Unreleased,"December 1, 2000","March 15, 2001",
794,Disney's Dinosaur,Disney Interactive Studios,Ubisoft,Unreleased,"October 6, 2000","August 29, 2000",
795,Disney's Donald Duck: Goin' Quackers•Donald Duck: Quack AttackPAL,Ubisoft Shanghai,Ubisoft,Unreleased,"December 15, 2000","November 14, 2000",
796,Disney's Hercules•Disney's Action Game featuring HerculesPAL,Eurocom,Disney Interactive Software,Unreleased,November 1997,"June 20, 1997",
797,Disney's Learning with Mickey,Disney Interactive,SCEE,Unreleased,2002,Unreleased,
798,Disney's Lilo & Stitch•Lilo & Stitch: Trouble in ParadisePAL,Ubisoft,Ubisoft,Unreleased,"September 27, 2002","June 14, 2002",
799,Disney's Peter Pan in Return to Neverland,Doki Denki,SCEA,Unreleased,Unreleased,"February 14, 2002",
800,Disney's Magical Tetris Challenge,Capcom,"CapcomJP, SCEEPAL","March 18, 1999","November 26, 1999",Unreleased,
801,Disney's Pooh's Party Game: In Search of the Treasure,Doki Denki,Electronic Arts,Unreleased,Unreleased,"November 28, 2001",
802,Disney's Story Studio - Mulan,Kids Revolution,NewKidCo,Unreleased,"September 17, 1999","December 15, 1999",
803,Disney's The Little Mermaid II,Blitz Games,THQ,Unreleased,Unreleased,"September 25, 2000",
804,Disney's Tarzan,Eurocom,"SCEEPAL, KonamiJP, SCEANA",Unreleased,Unreleased,"June 30, 1999",
805,Disruptor,Insomniac Games,"Interplay (PAL JP Versions), Universal Interactive (USA Version)","April 11, 1997",December 1996,"November 30, 1996",
806,Diver's Dream/Dolphin's Dream,Konami,Konami,"September 10, 1998","September 3, 2001",Unreleased,
807,The Divide: Enemies Within,Radical Entertainment,Viacom New Media,Unreleased,Unreleased,"December 20, 1996",
808,Docchi Mecha!,SCEI,SCEI,"April 27, 2000",Unreleased,Unreleased,
809,DoDonPachi,Cave,SPS,"September 10, 1998",Unreleased,Unreleased,
810,The Dog Master,Visit,Visit,"August 7, 2003",Unreleased,Unreleased,
811,Dodgem Arena,Formula Game Development,Project Two Interactive,Unreleased,1998,Unreleased,
812,Dokapon! Okori no Tetsuken,Asmik Ace Entertainment,Asmik Ace Entertainment,"November 5, 1998",Unreleased,Unreleased,
813,Doki Doki On Air,Dream Japan,Bottom Up,"June 11, 1998",Unreleased,Unreleased,
814,Doki Doki On Air 2,Dream Japan,Bottom Up,"March 11, 1999",Unreleased,Unreleased,
815,Doki Doki Poyacchio,M2,King Records,"September 10, 1998",Unreleased,Unreleased,
816,Doki Doki Pretty League,Xing Entertainment,Xing Entertainment,"March 28, 1997",Unreleased,Unreleased,
817,Doki Doki Pretty League: Lovely Star,Xing Entertainment,Xing Entertainment,"December 13, 2001",Unreleased,Unreleased,
818,Doki Doki Pretty League: Nekketsu Otome Seishunki,Xing Entertainment,Xing Entertainment,"September 23, 1998",Unreleased,Unreleased,
819,Doki Doki Shutter Chance,Nippon Ichi Software,Nippon Ichi Software,"October 23, 1997",Unreleased,Unreleased,
820,Doki Oki,Banpresto,Banpresto,"December 22, 1995",Unreleased,Unreleased,
821,Doko Demo Issyo: Calpis Water Version,Sony,Sony,"February 21, 2000",Unreleased,Unreleased,
822,Doko Demo Issyo: Let's School,Sony,Sony,"July 22, 1999",Unreleased,Unreleased,
823,Doko Demo Isshyo Tsuika Disk: Koneko Mo Isshyo (Expansion),Sony,Sony,"January 27, 2000",Unreleased,Unreleased,
824,Dokodemo Hamster 2,Interbec,Bec,"August 31, 2000",Unreleased,Unreleased,
825,Dokodemo Hamster 4,Atelier Double,Bec,"August 9, 2001",Unreleased,Unreleased,
826,Dokodemo Hamster B! Quick Club,Interbec,Bec,"February 28, 2002",Unreleased,Unreleased,
827,Dokomademo Aoku...,Kid,Kid,"February 21, 2002",Unreleased,Unreleased,
828,Dokonjou Gaeru: The Mahjong,Yuki,Bandai,"January 24, 2002",Unreleased,Unreleased,
829,DonPachi,Cave,SPS,"October 18, 1996",Unreleased,Unreleased,
830,Doom,"Id Software, Infogrames",,Unreleased,December 1995,"November 16, 1995",
831,Dora the Explorer: Barnyard Buddies,Imaginengine,Global Star and Nick Jr.,Unreleased,Unreleased,"November 18, 2003",
832,Doraemon 2: SOS! Otogi no Kuni,Pre Stage,Epoch Co.,"February 21, 1997",Unreleased,Unreleased,
833,Doraemon 3: Makai no Dungeon,Kan's,Epoch Co.,"December 14, 2000",Unreleased,Unreleased,
834,Doraemon: Nobita to Fukkatsu no Hoshi,SAS Sakata,Epoch Co.,"February 16, 1996",Unreleased,Unreleased,
835,Doraemon: Himitsu no Yojigen Pocket,Bandai,Bandai,"November 29, 2001",Unreleased,Unreleased,
836,Dosukoi Densetsu,KSS,KSS,"May 20, 1999",Unreleased,Unreleased,
837,Dotsubo-Chan,Three Spirits,Universe Kaihatsu,"September 14, 2000",Unreleased,Unreleased,
838,Double Dragon,Technos Japan,Urban Plant,"April 26, 1996",Unreleased,Unreleased,
839,Douga de Puzzle! Puppukupu,Agenda,Argent,"July 7, 1995",Unreleased,Unreleased,
840,Dōkyūsei 2,,ELF Corporation,"August 7, 1997",Unreleased,Unreleased,
841,Doukyuusei Mahjong,Aroma,Aroma,"January 17, 1997",Unreleased,Unreleased,
842,Doubutsu Chara Navi Uranai 2: Kosei Shinri / Renai Uranai Puzzle,Culture Brain,Culture Brain,"September 18, 2003",Unreleased,Unreleased,
843,Doumu no Yabou: F1 GP Nippon,OZ Club,OZ Club,"October 25, 1996",Unreleased,Unreleased,
844,Doumu no Yabou 2: The Race of Champions,OZ Club,OZ Club,"November 19, 1998",Unreleased,Unreleased,
845,Downhill Snow,Pack-In-Video,Victor Interactive Software,"August 28, 1998",Unreleased,Unreleased,
846,Dr. Rin ni Kiitemite!,Hudson,Hudson,"November 28, 2002",Unreleased,Unreleased,
847,Dr. Slump,Bandai,Bandai,"March 18, 1999",Unreleased,Unreleased,
848,Dracula 2: The Last Sanctuary,Index+,Cryo Interactive,Unreleased,"July 6, 2001","May 6, 2002",
849,Dracula: Resurrection,"Canal+ Multimedia, France Telecom Multimedia, Index+",Microids,Unreleased,"February 6, 2000",June 2001,
850,Dragon Ball GT: Final Bout,Bandai,Atari,"August 25, 1997","November 6, 1997","July 29, 1997",
851,Dragon Ball Z: Idainaru Dragon Ball Densetsu,Bandai,Bandai,"May 31, 1996",Unreleased,Unreleased,
852,Dragon Ball Z: Ultimate Battle 22,Bandai,Atari,"July 28, 1995",June 1996,"March 25, 2003",
853,Dragon Beat: Legend of Pinball,Map Japan,Map Japan,"November 27, 1997",Unreleased,Unreleased,
854,Dragon Drive: Tactics Break,Bandai,Bandai,"October 3, 2002",Unreleased,Unreleased,
855,DragonHeart: Fire & Steel,Funcom,Acclaim,Unreleased,March 1997,"November 30, 1996",
856,Dragon Knight 4,Banpresto,Banpresto,"February 27, 1997",Unreleased,Unreleased,
857,Dragon Knights Glorious,Pandora Box,Pandora Box,"November 18, 1999",Unreleased,Unreleased,
858,Dragon Money,E.O. Imagination,Micro Cabin,"May 4, 1999",Unreleased,Unreleased,
859,Dragon Quest IV,"ArtePiazza, Heartbeat",Enix,"November 22, 2001",Unreleased,Unreleased,
860,Dragon Quest Monsters 1 & 2,"TOSE Co., Ltd.",Enix Corporation,"May 30, 2002",Unreleased,Unreleased,[60]
861,Dragon Quest VII,Heart Beat,"JP Enix Corporation, NA Enix Corporation","August 26, 2000",Unreleased,"October 31, 2001",
862,Dragonseeds,Jaleco Entertainment,Jaleco Entertainment,"August 6, 1998",Unreleased,"September 30, 1998",
863,Dragstars•Burn OutJP,Midas Interactive,"Midas InteractivePAL, Success","August 24, 2000","April 13, 2002",Unreleased,
864,Dragon Tales: Dragon Seek,Zed Two Limited,NewKidCo,Unreleased,Unreleased,"November 29, 2000",
865,Dragon Valor,Namco,SCEE,"December 9, 1999","June 30, 2000","October 16, 2000",
866,The Dream Circus,TGL,TGL,"February 25, 1999",Unreleased,Unreleased,
867,Dream Generation: Koi Ka? Shigoto Ka!?,NCS,NCS,"August 13, 1998",Unreleased,Unreleased,
868,Dreams to Reality,Cryo Interactive,Cryo Interactive,Unreleased,"November 15, 1998DE,ES,FR,IT,PAL",Unreleased,
869,Driver•Driver: You Are the WheelmanNA,Reflections Interactive,GT Interactive,Unreleased,"June 25, 1999","June 30, 1999",
870,Driver 2,Reflections Interactive,Infogrames,Unreleased,"November 17, 2000","November 13, 2000",
871,The Drugstore,Human Entertainment,Human Entertainment,"August 6, 1998",Unreleased,Unreleased,
872,Druid: Yami e no Tsuisekisha,Synthetic Dimensions,Koei,"February 19, 1998",Unreleased,Unreleased,
873,Ducati World Racing Challenge,Attention to Detail,Acclaim,Unreleased,"February 9, 2001","January 2, 2001",
874,Duke NukemPAL•Duke Nukem: Total MeltdownNA,"3D Realms, Aardvark Software",GT Interactive,Unreleased,December 1998,"September 30, 1997",
875,Duke Nukem: Land of the Babes,n-Space,"GT InteractiveNA, Take-Two InteractivePAL",Unreleased,"April 6, 2001","September 19, 2000",
876,Duke Nukem: Time to Kill,n-Space,"GT InteractiveNA, Take-Two InteractivePAL",Unreleased,"February 15, 1999","September 30, 1998",
877,The Dukes of Hazzard: Racing for Home,Sinister Games,"SouthPeak Games, Ubisoft",Unreleased,2000,"November 30, 1999",
878,The Dukes of Hazzard II: Daisy Dukes It Out,Sinister Games,"SouthPeak Games, Ubisoft",Unreleased,"March 23, 2001","November 6, 2000",
879,Dune 2000•DunePAL,"Intelligent Games, Westwood Studios",Electronic Arts,Unreleased,"February 1, 2000","October 31, 1999",
880,Dungeon Creator,Electronic Arts Victor,Electronic Arts Victor,"May 31, 1996",Unreleased,Unreleased,
881,Dungeon Shoutenkai: Densetsu no Ken Hajimemashita,Kinotrope,Kodansha,"October 29, 1998",Unreleased,Unreleased,
882,DX Hyakunin Isshu,Takara,Takara,"December 6, 2001",Unreleased,Unreleased,
883,DX Jinsei Game,Takara,Takara,"March 22, 1996",Unreleased,Unreleased,
884,DX Jinsei Game II,Takara,Takara,"July 24, 1997",Unreleased,Unreleased,
885,DX Jinsei Game III,Takara,Takara,"December 2, 1999",Unreleased,Unreleased,
886,DX Jinsei Game IV,Takara,Takara,"November 29, 2001",Unreleased,Unreleased,
887,DX Jinsei Game V,Takara,Takara,"December 5, 2002",Unreleased,Unreleased,
888,DX Nippon Tokkyu Ryokou Game: Let's Travel in Japan,Takara,Takara,"December 20, 1996",Unreleased,Unreleased,
889,DX Okuman Chouja Game,Takara,Takara,"December 6, 1996",Unreleased,Unreleased,
890,DX Okuman Chouja Game II,Takara,Takara,"September 23, 1998",Unreleased,Unreleased,
891,DX Shachou Game,Takara,Takara,"July 8, 1999",Unreleased,Unreleased,
892,DX Monopoly,Takara,Takara,"December 21, 2000",Unreleased,Unreleased,
893,Dynamite Soccer 98•Simple 1500 Series Vol. 67: The Soccer: Dynamite Soccer 1500,A-Max,A-Max,"June 4, 1998",Unreleased,Unreleased,
894,Dynamite Soccer 2000,A-Max,A-Max,"October 26, 2000",Unreleased,Unreleased,
895,Dynamite Soccer 2002,A-Max,A-Max,"May 16, 2002",Unreleased,Unreleased,
896,Dynamite Soccer 2004 Final,A-Max,A-Max,"April 15, 2004",Unreleased,Unreleased,
897,Dynasty Warriors,Omega Force,Koei,"February 28, 1997",December 1997,"June 30, 1997",
898,Eagle One: Harrier Attack,Glass Ghost,Infogrames,Unreleased,2000,"March 31, 2000",
899,Earthworm Jim 2,Screaming Pink,Virgin Interactive,Unreleased,November 1996,Unreleased,
900,Easter Bunny's Big Day,Mastiff,Mastiff,Unreleased,Unreleased,"April 1, 2003",
901,Eberouge,Japan Media Programming,Takara,"May 30, 1997",Unreleased,Unreleased,
902,Eberouge 2,Japan Media Programming,Takara,"February 25, 1999",Unreleased,Unreleased,
903,Eberouge Special: Koi to Mahou no Gakuen Seikatsu,Japan Media Programming,Takara,"June 11, 1998",Unreleased,Unreleased,
904,Ebisu Yoshikazu no Ooana Keiti,Seta Corporation,Seta Corporation,"August 30, 1996",Unreleased,Unreleased,
905,Echo Night,FromSoftware,Agetec,"August 13, 1998",Unreleased,"July 31, 1999",
906,Echo Night 2: The Lord of Nightmares,From Liquid Mirror Software,FromSoftware,"August 13, 1998",Unreleased,Unreleased,
907,Ecsaform,Bandai,Bandai,"January 28, 1999",Unreleased,Unreleased,
908,ECW Anarchy Rulz,Acclaim,Acclaim,Unreleased,"September 1, 2000","August 15, 2000",
909,ECW Hardcore Revolution,Acclaim,Acclaim,Unreleased,2000,"February 17, 2000",
910,eexy life: East End X Yuri,Sony Music Entertainment Incorporated,Sony Music Entertainment Incorporated,"October 25, 1996",Unreleased,Unreleased,
911,Efficus: Kono Omoi o Kimi ni...,Genki,Genki,"October 1, 1998",Unreleased,Unreleased,
912,Egg,Beyond Interactive,Toshiba EMI,"February 19, 1998",Unreleased,Unreleased,
913,Eggs of Steel: Charlie's Eggcellent Adventure,Rhythm & Hues,Atlus,Unreleased,Unreleased,"October 31, 1998",
914,Egypt 1156 B.C.: Tomb of the Pharaoh,Cryo Interactive,"Canal+Multimedia, Cryo Interactive, Réunion des Musées Nationaux",Unreleased,"September 10, 1999",Unreleased,
